,Name,Year,Global_Sales
404,Aquanaut's Holiday: Kakusareta Kiroku,2008.0,0.04
405,Aquapazza: Aquaplus Dream Match,2012.0,0.1
406,Aquarium by DS,2008.0,0.06
407,Ar Nosurge: Ode to an Unborn Star,2014.0,0.2
408,Ar tonelico 2: Melody of Metafalica,2007.0,0.18
409,Ar tonelico Qoga: Knell of Ar Ciel,2010.0,0.24
410,Ar tonelico: Melody of Elemia,2006.0,0.1
411,Arabians Lost: The Engagement on Desert,2007.0,0.02
412,Arabians Lost: The Engagement on Desert,2012.0,0.01
413,Arc Rise Fantasia,2009.0,0.19
414,Arc the Lad,1995.0,1.11
415,Arc the Lad II,1996.0,1.05
416,Arc the Lad III,1999.0,0.42
417,Arc the Lad: End of Darkness,2004.0,0.06
418,Arc the Lad: Twilight of the Spirits,2003.0,0.36
419,Arcade Hits: Frisky Tom,2002.0,0.28
420,Arcade Party Pak,1999.0,0.11
421,Arcade Shooting Gallery,2008.0,0.19
422,Arcade Zone,2009.0,0.16
423,Arcana Famiglia 2,2013.0,0.02
424,Arcana Famiglia: La storia della Aracana Famiglia,2011.0,0.05
425,Arcana Famiglia: Vascello Phantasma no Majutsushi,2012.0,0.02
426,Arcana Heart,2007.0,0.16
427,Arcana Heart 3,2011.0,0.25
428,Arcana Heart 3,2014.0,0.06
429,Arcania: Gothic 4,2010.0,0.29000000000000004
430,Arcania: Gothic 4,2015.0,0.05
431,Archer Maclean Presents: Pool Paradise,2004.0,0.09
432,Archer Maclean's 3D Pool,2003.0,0.07
433,Archer Maclean's Mercury,2005.0,0.56
434,Arctic Tale,2007.0,0.19
435,Arctic Thunder,2001.0,0.48
436,Are You Alice?,2011.0,0.02
437,Are You Smarter Than A 5th Grader?,2007.0,0.53
438,Are You Smarter Than a 5th Grader? Back to School,2010.0,0.3
439,Are You Smarter than a 5th Grader? Game Time,2009.0,0.63
440,Are You Smarter than a 5th Grader? Make the Grade,2008.0,0.9400000000000001
441,Area 51,1996.0,0.72
442,Area 51,2005.0,0.74
443,Arena Football,2006.0,0.7100000000000001
444,Aria: The Natural ~Tooi Yume no Mirage~,2006.0,0.02
445,Aria: The Origination ~Aoi Wakusei no El Cielo~,2008.0,0.02
446,Arkanoid DS,2007.0,0.06
447,ArmA II,2009.0,0.14
448,ArmA III,2013.0,0.12
449,Armed and Dangerous,2003.0,0.13
450,Armor Ambush,1981.0,0.17
451,Armored Core,1997.0,0.41
452,Armored Core 2,2000.0,0.79
453,Armored Core 2: Another Age,2001.0,0.41
454,Armored Core 3,2002.0,0.67
455,Armored Core 3 Portable,2009.0,0.08
456,Armored Core 4,2006.0,0.2
457,Armored Core 4,2007.0,0.25
458,Armored Core SL: Silent Line Portable,2009.0,0.03
459,Armored Core V,2012.0,0.62
460,Armored Core: For Answer,2008.0,0.33999999999999997
461,Armored Core: Formula Front Extreme Battle,2004.0,0.05
462,Armored Core: Last Raven,2005.0,0.18
463,Armored Core: Last Raven Portable,2010.0,0.03
464,Armored Core: Master of Arena,1999.0,0.26
465,Armored Core: Nexus,2004.0,0.26
466,Armored Core: Nine Breaker,2004.0,0.07
467,Armored Core: Project Phantasma,1997.0,0.28
468,Armored Core: Silent Line,2003.0,0.31
469,Armored Core: Verdict Day,2013.0,0.12
470,Armorines: Project S.W.A.R.M.,1999.0,0.26
471,Armorines: Project S.W.A.R.M.,2000.0,0.08
472,Army Corps of Hell,2011.0,0.1
473,Army Men 3D,1999.0,1.28
474,Army Men World War: Final Front,2001.0,0.44
475,"Army Men World War: Land, Sea, Air",2000.0,0.3
476,Army Men World War: Team Assault,2001.0,0.1
477,Army Men: Air Attack,1999.0,0.85
478,Army Men: Air Attack 2,2000.0,0.3
479,Army Men: Air Combat,2000.0,0.24
480,Army Men: Air Combat - The Elite Missions,2003.0,0.01
481,Army Men: Green Rogue,2001.0,0.2
482,Army Men: Major Malfunction,2006.0,0.02
483,Army Men: RTS,2002.0,0.11
484,Army Men: RTS,2004.0,0.07
485,Army Men: Sarge's Heroes,1999.0,1.37
486,Army Men: Sarge's Heroes 2,2000.0,0.6599999999999999
487,Army Men: Sarge's Heroes 2,2001.0,0.17
488,Army Men: Sarge's War,2004.0,0.26
489,Army Men: Soldiers of Misfortune,2008.0,0.25
490,Army Rescue,2009.0,0.02
491,Army of Two,2008.0,2.82
492,Army of Two: The 40th Day,2010.0,2.1199999999999997
493,Army of Two: The Devil's Cartel,2013.0,0.54
494,Around the World in 80 Days,2004.0,0.05
495,Around the World in 80 Days,2010.0,0.16
496,Arslan: The Warriors of Legend,2015.0,0.13
497,Arslan: The Warriors of Legend,2016.0,0.02
498,Art Academy,2010.0,2.57
499,Art Academy: Home Studio,2015.0,0.01
500,Art Academy: Lessons for Everyone,2012.0,0.46
501,Art of Fighting 3: The Path of the Warrior,1996.0,0.04
502,Art of Fighting Anthology,2006.0,0.04
503,Arthur and the Invisibles,2007.0,0.03
504,Arthur! Ready to Race,2000.0,0.05
505,Arx Fatalis,2003.0,0.05
506,Ashes Cricket 2009,2009.0,0.61
507,Asphalt 3D,2011.0,0.49
508,Asphalt: Injection,2011.0,0.23
509,Asphalt: Urban GT,2004.0,0.6
510,Asphalt: Urban GT 2,2006.0,0.14
511,Assassin's Creed,2007.0,10.379999999999999
512,Assassin's Creed,2008.0,0.92
513,Assassin's Creed Chronicles,2016.0,0.21000000000000002
514,Assassin's Creed Chronicles: China,2015.0,0.04
515,Assassin's Creed II,2009.0,10.84
516,Assassin's Creed II,2010.0,0.57
517,Assassin's Creed II: Discovery,2009.0,0.28
518,Assassin's Creed III,2012.0,13.1
519,Assassin's Creed III: Liberation,2012.0,1.47
520,Assassin's Creed IV: Black Flag,2013.0,13.159999999999998
521,Assassin's Creed Syndicate,2015.0,4.76
522,Assassin's Creed: Altair's Chronicles,2008.0,0.05
523,Assassin's Creed: Bloodlines,2009.0,1.24
524,Assassin's Creed: Brotherhood,2010.0,6.34
525,Assassin's Creed: Brotherhood,2011.0,0.59
526,Assassin's Creed: Revelations,2011.0,9.19
527,Assassin's Creed: Rogue,2014.0,2.42
528,Assassin's Creed: Rogue,2015.0,0.07
529,Assassin's Creed: Unity,2014.0,7.93
530,Assassination Classroom: Grand Siege on Kuro-sensei,2015.0,0.13
531,Assault,1982.0,0.22
532,Assault Rigs,1996.0,0.04
533,Assault Suit Leynos,2016.0,0.02
534,Assault: Retribution,1998.0,0.13
535,Assetto Corsa,2016.0,0.060000000000000005
536,Asterix & Obelix: Kick Buttix,2004.0,0.03
537,Asteroids,1980.0,4.31
538,Asteroids,1998.0,1.15
539,Asteroids Hyper 64,1999.0,0.16
540,Astonishia Story,2006.0,0.03
541,Astro Boy,2004.0,0.09
542,Astro Boy: Omega Factor,2003.0,0.09
543,Astro Boy: The Video Game,2009.0,0.36
544,Astroblast,1981.0,0.31
545,Astrology DS,2009.0,0.04
546,Asura's Wrath,2012.0,0.6499999999999999
547,Atari Anniversary Advance,2002.0,0.18
548,Atari Anniversary Edition Redux,2000.0,0.18
549,Atari Anthology,2004.0,0.65
550,Atari Classics Evolved,2007.0,0.09
551,Atari's Greatest Hits: Volume 1,2010.0,0.14
552,Atari's Greatest Hits: Volume 2,2011.0,0.06
553,Atelier Annie: Alchemists of Sera Island,2009.0,0.12
554,Atelier Ayesha: The Alchemist of Dusk,2012.0,0.27
555,Atelier Ayesha: The Alchemist of Dusk,2014.0,0.05
556,Atelier Escha & Logy: Alchemists of the Dusk Sky,2013.0,0.22
557,Atelier Escha & Logy: Alchemists of the Dusk Sky,2015.0,0.04
558,Atelier Iris 2: The Azoth Of Destiny,2005.0,0.06
559,Atelier Iris 3: Grand Phantasm (JP Sales),2006.0,0.04
560,Atelier Iris 3: Grand Phantasm (US Sales),2006.0,0.29
561,Atelier Iris: Eternal Mana,2004.0,0.15
